id;code;date;amount;status
1;diligently;2026-06-15T13:37:33;22576.71;PAID
2;lest and mmm;2026-06-14T17:05:37;8496.04;PAID
3;shudder at;2026-06-15T05:03:29;31247.95;ISSUED
4;fishery;2026-06-15T15:02:24;14307.61;CANCELLED
5;humiliating or small;2026-06-14T21:10:12;20189.55;CANCELLED
6;which almost that;2026-06-14T16:57:38;8747.71;CANCELLED
7;quip mechanically;2026-06-14T17:19:42;16831.38;ISSUED
8;um;2026-06-15T08:07:57;25031.88;CANCELLED
9;ultimately blah;2026-06-14T20:59:14;9080.08;ISSUED
10;since um;2026-06-14T20:53:43;1040.65;ISSUED
