id;code;date;amount;status
1;bowed internalise;2026-06-14T23:00:39;17806.88;PAID
2;famously;2026-06-15T14:09:27;31881.83;CANCELLED
3;kooky considering;2026-06-14T17:12:33;1191.88;CANCELLED
4;colorful going lumbering;2026-06-15T02:18:21;12679;CANCELLED
5;onto;2026-06-15T15:12:18;4846.75;CANCELLED
6;without circa how;2026-06-15T01:38:59;14742.68;CANCELLED
7;slake a;2026-06-15T06:35:40;25654.83;ISSUED
8;onto;2026-06-14T19:06:12;6166.49;ISSUED
9;tall or pigsty;2026-06-14T19:12:47;657.02;PAID
10;aboard boohoo fabricate;2026-06-15T02:25:40;29708.97;CANCELLED
